,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,westport,41.1415,-73.3579,300.43,55,75,1.34,US,1627929453
91,hervey bay,-25.2986,152.8535,291.21,90,4,4.36,AU,1627929528
92,khatanga,71.9667,102.5,289.68,65,22,4.35,RU,1627929446
93,macau,22.2006,113.5461,302.63,84,20,3.09,MO,1627929528
94,sembakung,3.8167,117.25,296.11,99,100,1.11,ID,1627929528
95,posse,-14.0931,-46.3694,300.97,20,71,4.1,BR,1627929529
96,tevaitoa,-16.7833,-151.5,299.73,64,56,5.67,PF,1627929529
97,mount gambier,-37.8333,140.7667,280.1,100,90,3.6,AU,1627929529
98,airai,-8.9266,125.4092,286.38,80,27,1.43,TL,1627929530
99,sitka,57.0531,-135.33,290.09,72,90,5.66,US,1627929341
100,paamiut,61.994,-49.6678,281.28,84,100,3.05,GL,1627929494
101,teahupoo,-17.8333,-149.2667,297.13,71,92,6.44,PF,1627929530
102,mar del plata,-38.0023,-57.5575,286.55,62,0,7.15,AR,1627929506
103,belaya gora,68.5333,146.4167,279.32,61,8,2.03,RU,1627929530
104,prieska,-29.6641,22.7474,284.81,41,0,0.13,ZA,1627929531
105,iqaluit,63.7506,-68.5145,283,93,75,1.54,CA,1627929531
106,asosa,10.0667,34.5333,288.68,97,100,0.72,ET,1627929531
107,port augusta,-32.5,137.7667,280.23,89,91,4.34,AU,1627929532
108,thompson,55.7435,-97.8558,296.24,53,20,3.6,CA,1627929532
109,abu dhabi,24.4667,54.3667,309.21,52,0,1.03,AE,1627929532
110,zhenlai,45.8495,123.2973,290.75,97,100,4.55,CN,1627929533
111,enkhuizen,52.7,5.2833,290.38,75,6,4.69,NL,1627929533
112,colesberg,-30.72,25.0972,281.92,25,0,1.13,ZA,1627929533
113,havre-saint-pierre,50.2334,-63.5986,291.35,72,20,3.6,CA,1627929533
114,kontagora,10.3999,5.4695,295.42,95,100,1.2,NG,1627929534
115,port lincoln,-34.7333,135.8667,284.25,60,56,9.99,AU,1627929534
116,emporia,38.4039,-96.1817,301.26,36,20,4.63,US,1627929282
117,jamestown,42.097,-79.2353,296.09,47,75,2.68,US,1627929425
118,kuching,1.55,110.3333,297.27,100,20,0.51,MY,1627929535
119,nikolskoye,59.7035,30.7861,290.59,98,100,2.7,RU,1627929535
120,leh,34.1667,77.5833,291.97,37,9,2.53,IN,1627929535
121,qaanaaq,77.484,-69.3632,280.58,65,100,2.28,GL,1627929464
122,mahibadhoo,3.7833,72.9667,301.39,70,94,1.71,MV,1627929536
123,kamenka,51.3223,42.7678,299.12,36,0,1.67,RU,1627929536
124,banjar,-8.19,114.9675,299.07,91,49,2.76,ID,1627929536
125,kalemie,-5.9475,29.1947,295.21,57,0,0.74,CD,1627929536
126,sribne,50.6638,32.9187,294.58,68,16,4.15,UA,1627929537
127,taitung,22.7583,121.1444,300.15,87,84,1.41,TW,1627929537
128,teneguiban,,,,,,,,
